MAEASaM ID,Evidence,Evidence Shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climate Zone,Geometry,Grid Level 1,Grid Level 2,Remote Sensing Activity,Surveyor Name,Survey type,Survey Date,Image Type,Date of imagery,Additional information,Threat assessment date,Threat assessor name,Image used date,Threat type,Threat level,Measurement value,Measurement type,Measurement unit
RS_ETH_0000043,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5039068588813 10.8150013117711),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000044,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5039860741241 10.8149764035264),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000045,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5038992049359 10.8149161290669),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000046,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5039709903657 10.8148842998206),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000047,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5041223058014 10.8148949015708),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000048,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5018721079543 10.799774574685),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000049,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5067030921416 10.7983753853548),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000050,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.5011663206088 10.7944552015682),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000051,Structure,Semi-Circular,Tumulus,Medium,No,Shrubland,Desert hot,POINT (42.5039091500445 10.7948186520235),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000052,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.5020197770415 10.7907395148674),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000053,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.505087236534 10.7867714112221),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000054,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.5052240794722 10.7885711912957),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000055,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5019151026057 10.7884942776409),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000056,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5020514081573 10.7884393362642),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000057,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5024997659894 10.7886216541985),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000058,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5038090953363 10.7842471252097),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000059,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5039204168265 10.78451345792),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000060,Structure,Circular,Cairn,Medium,No,Shrubland,Desert hot,POINT (42.5046063808459 10.7830233589914),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000061,Structure,Circular,Cairn,Medium,No,Shrubland,Desert hot,POINT (42.5034639578328 10.7827858490941),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000062,Structure,Circular,Cairn,Medium,No,Shrubland,Desert hot,POINT (42.5035057704243 10.7826764177762),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000063,Structure,Semi-Circular,Tumulus,Medium,No,Shrubland,Desert hot,POINT (42.5043281734499 10.7789174152681),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000064,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.502910294728 10.7760917531384),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000065,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.502957945889 10.7759981694497),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000066,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.5033086018613 10.7761380365563),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000067,Structure,Circular,Cairn,Low,No,Shrubland,Desert hot,POINT (42.503308682988 10.7760445824096),E42.6N10.8,183469,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
