WKT,Year,MAEASaM ID,Evidence,Evidence shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climatic zone,Relationship to other site,Chronology,Geometry type,Grid level 1,Grid level 2,Remote sensing activity,Survey type,Survey date,Surveyor name,Image type,Date of imagery,Spatial resolution (m),Assessment date,Assessor name,Date of image used,Overall condition,Disturbance effect,Extent of impact,Severity of impact,Recommendation for management of disturbance,Threat assessor name,Threat assessment date,Image used date,Threat type,Threat level,Probability of threat affecting site,Recommendation for management of threats,Additional information,Measurement type,Measurement unit,Measurement value
POINT Z (32.7904401220001 -18.345871372 0),year 1,RS-ZWE-0000058,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.789890466 -18.345799988 0),year 1,RS-ZWE-0000059,Pit,,Pit structure ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,Has Walling,,,
POINT Z (32.7898940350001 -18.345346701 0),year 1,RS-ZWE-0000060,Pit,,Pit structure ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,Has Walling,,,
POINT Z (32.789497855 -18.344747077 0),year 1,RS-ZWE-0000061,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.789076691 -18.344383019 0),year 1,RS-ZWE-0000062,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7891623510001 -18.343736996 0),year 1,RS-ZWE-0000063,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.790764918 -18.3457964189999 0),year 1,RS-ZWE-0000064,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.792056965 -18.34597131 0),year 1,RS-ZWE-0000065,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7931098770001 -18.345550145 0),year 1,RS-ZWE-0000066,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.792916903 -18.34654238 0),year 1,RS-ZWE-0000067,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
